date,max_temp,min_temp,avg_temp
2026-05-14,11.7,7.8,9.75
2026-05-15,13.6,5.3,9.45
2026-05-16,15.8,7.7,11.75
2026-05-17,16.1,10.6,13.350000000000001
2026-05-18,15.6,9.2,12.399999999999999
2026-05-19,16.8,10.9,13.850000000000001
2026-05-20,20.5,13.4,16.95
2026-05-21,24.7,10.4,17.55
